Nombre del anuncio,Inicio del informe,Importe gastado (ARS),Impresiones,Alcance,Frecuencia,Clics en el enlace,Visitas a la página de destino,Artículos agregados al carrito,Pagos iniciados,Compras,Valor de conversión de compras,Reproducciones de video de 3 segundos,ThruPlays,Resultados
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 11,2026-07-31,20952.07,3051,2357,1.294442,87,64,25,1,1,209850,19,2,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 5,2026-07-31,851.17,73,69,1.057971,6,5,2,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 12,2026-07-31,15814.47,1642,1046,1.56979,43,34,13,3,1,95603.04,33,4,
Ad5 - Video - Sale - Copia,2026-08-01,4694.34,534,454,1.176211,25,25,10,1,0,0,523,89,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia,2026-08-01,0,0,0,0,0,4,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 5,2026-08-01,855.92,116,104,1.115385,4,3,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 8,2026-08-01,0,0,0,0,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 3,2026-08-01,0.23,1,1,1,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 6,2026-08-01,118.91,6,6,1,2,1,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 9,2026-08-01,1803.81,186,164,1.134146,12,8,3,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 9,2026-08-01,5241.15,690,551,1.252269,22,14,2,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 6,2026-08-01,2869.9,373,336,1.110119,12,12,1,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 11,2026-08-01,22950.65,3231,2381,1.356993,112,85,25,1,2,342042.11,15,1,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 5,2026-08-01,115.46,3,3,1,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 12,2026-08-01,9097.81,1068,741,1.441296,32,21,2,0,0,0,16,5,
Ad5 - Video - Sale - Copia,2026-08-02,10196.28,1143,969,1.179567,66,59,10,1,0,0,1089,168,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 5,2026-08-02,100.26,31,27,1.148148,1,1,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 6,2026-08-02,185.53,14,13,1.076923,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 5,2026-08-02,10534.05,1144,909,1.258526,43,43,3,1,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 3,2026-08-02,284.39,31,29,1.068966,1,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 6,2026-08-02,677.26,113,101,1.118812,4,3,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 9,2026-08-02,417.46,51,50,1.02,1,1,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 10,2026-08-02,322.18,42,38,1.105263,0,0,0,0,0,0,8,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 9,2026-08-02,386.84,51,40,1.275,2,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 6,2026-08-02,206.74,41,39,1.051282,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 7,2026-08-02,36.06,12,11,1.090909,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 11,2026-08-02,47131.33,7530,5084,1.481117,257,236,21,1,0,0,23,4,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 12,2026-08-02,5683.41,751,544,1.380515,19,15,13,1,1,133750.69,10,5,
Ad5 - Video - Sale - Copia,2026-08-03,4336.99,514,468,1.098291,30,24,5,2,1,90480.65,491,79,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 5,2026-08-03,93.61,14,13,1.076923,0,0,0,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia,2026-08-03,4114.21,668,546,1.223443,31,31,7,0,0,0,0,0,
Ad6 - Secuencia - Nueva coleccion 202666 - Copia 5,2026-08-03,17439.96,3045,2356,1.292445,73,71,9,1,0,0,0,0,
